,Symbol,Consensus,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthADReturnStd,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capexCagr5Y,cashFlowPerShareAnnual,cashFlowPerShareQuarterly,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShareAnnual,dividendPerShareTTM,dividendYieldIndicatedAnnual,ebitdPerShareAnnual,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,enterpriseValue,epsAnnual,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,epsTTM,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,inventoryTurnoverAnnual,inventoryTurnoverTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareAnnual,pcfShareTTM,peAnnual,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,peTTM,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P50052Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,ptbvAnnual,ptbvQuarterly,quickRatioAnnual,quickRatioQuarterly,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roa5Y,roaRfy,roaTTM,roe5Y,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,tbvCagr5Y,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily
102,CVX,Buy,2.36831,2.9448,16.3351,22.371872,3.02854,167.11,2024-04-29,135.3672,2024-09-11,3.3815,5.3318,0.7528,0.745,0.8168479,86.1034,86.1034,2.36,3.11,8.5042,8.5042,21.86113,3.8355,3.8355,4.2058,19.8316,19.8316,1.061,1.061,6.53,6.4936,6.4936,4.309476,22.4469,22.4461,5.04,6.3,298346.6,9.7199,9.7199,9.6974,9.7199,9.6974,6.1,44.5,50.48,-14.56,9.7199,9.6974,9.7199,9.6974,2.65,41.06,38.37,38.37,13.4803,13.4803,0.1286,0.1286,280586.6,1.3807,0.3899,0.3899,-2.6504,-5.3755,34.3,7.84,9.13,9.13,9.65,12.25,12.25,66.82,66.82,1.7089,1.7089,8.9098,8.9098,15.8874,15.8874,7.92629,15.8874,15.8874,15.8874,15.8874,18.6511,18.6511,11.27,14.22,14.22,10.5897,14.1066,10.7461,-6.6591,15.3019,1.4507,1.4507,1.76442,1.69867,0.7197,0.7197,9.5266,9.5266,4.2698,4.2698,7.52,6.65,-1.22,-1.78,106.4469,108.7407,7.55,6.6,6.87,6.800000000000001,10.83,11.59,11.24,9.44,9.99,9.76,80.70107,85.04469,1.48288,0.1611,0.1611,11.026
103,CMG,Buy,3.03107,-27.1161,-11.8428,28.167894,2.48816,69.15,2024-06-18,47.55,2025-03-18,-13.314,-4.5155,1.2292,1.2731,1.1503493,2.6904,2.6904,17.28,12.19,1.1124,1.1124,53.21617,1.0472,1.0472,,43.2278,43.2278,1.5235,1.5235,,,,,1.6355,1.6355,27.94,26.65,65337.697,1.1145,1.1145,1.1141,1.1145,1.1141,34.5,35.11,18.71,25.63,1.1145,1.1141,1.1145,1.1141,31.27,31.58,34.19,31.65,168.7498,175.2453,,,66086.234,-11.4508,0.0118,0.0118,1268.1445,409.0572,16.68,10.2,13.56,13.56,12.34,16.94,16.94,,,22.4766,22.4766,31.3938,31.3938,43.0779,43.0779,69.27852,43.0779,43.0779,43.0779,43.0779,43.7231,43.7231,12.71,17.77,17.77,-19.4712,-14.0713,-2.7018,-23.3546,-16.4704,5.8412,5.8412,25.96586,21.2675,1.4129,1.4129,87.198,87.198,0.0867,0.0867,14.45,15.16,13.07,14.61,8.219,8.2648,15.79,12.14,16.669999999999998,17.26,33.22,41.97,42.78,33.22,41.97,42.78,84.91997,104.2159,11.81124,0.0,0.0,-20.7463
104,CB,Buy,0.54753,7.0379,1.5909,20.521204,0.50599,302.04,2024-10-17,238.9,2024-04-24,15.3615,4.113,0.2261,0.2298,0.60446227,159.7714,159.7714,5.47,,40.384,40.384,17.62489,4.85293,6.80908,1.2125,8.1253,8.1253,0.1528,0.162,3.69,3.5634,3.5634,1.2239408,28.2996,28.3105,16.25,19.21,131482.88,22.6984,22.6984,22.7106,22.6984,22.7106,5.6,18.53,-21.31,4.09,22.6984,22.7106,22.6984,22.7106,20.6,,,,,,0.2311,0.2311,118433.88,3.5659,0.2156,0.2156,43.9917,12.0201,5.03,15.55,16.63,16.63,17.06,20.22,20.22,15.49,15.49,1.7397,1.7397,7.3189,7.3189,12.7733,12.7733,18.09857,12.7733,12.7733,12.7733,12.7733,7.3189,7.3189,18.09,20.55,20.55,14.6828,-0.6376,19.436,5.3209,11.2828,2.1243,2.1243,1.9321,1.9321,0.0,0.0,,,1.2966,1.2966,10.82,10.24,9.11,12.1,136.4868,136.8943,12.84,3.29,3.7600000000000002,3.82,12.08,14.48,14.760000000000002,9.57,11.65,11.799999999999999,143.8569,143.8569,3.19,0.2436,0.2436,7.0069
105,CHD,Hold,0.5691,1.7049,1.3593,20.096642,0.64142,116.17,2025-03-10,96.35,2024-08-02,2.9136,-1.5133,0.6875,0.7005,0.55140454,17.7355,17.7355,10.28,19.53,3.971,3.971,2.67839,3.921,3.921,1.0396,28.5592,28.5592,1.7027,1.7027,4.47,1.1328,1.1328,1.0793998,3.6416,3.6793,-0.08,6.63,27885.188,2.3706,2.3706,2.3684000000000003,2.3706,2.3684000000000003,-10.58,-0.6,22.83,-22.39,2.3706,2.3684000000000003,2.3706,2.3684000000000003,4.31,44.1,45.69,45.69,5.4084,5.4084,0.5055,0.5055,26644.688,-3.4353,0.1018,0.1018,12.3388,13.6896,-7.48,12.43,9.58,9.58,16.84,13.22,13.22,47.33,31.47,5.8828,5.8828,23.0451,23.0451,45.5231,45.5231,56.43064,45.5231,45.5231,45.5231,45.5231,27.2887,27.2887,15.67,12.38,12.38,9.3498,-0.8692,11.363,-7.127,6.8258,4.3629,4.3629,17.4242,17.4242,1.2366,1.2366,10.8311,10.8311,1.0621,1.0621,5.57,6.98,3.53,4.08,24.7351,24.6752,7.43,8.26,6.59,6.710000000000001,19.3,13.420000000000002,13.8,11.43,8.91,9.08,5.9879,5.9879,14.33,0.5055,0.5055,2.5499
106,CI,Buy,0.56132,9.6589,-9.9609,34.171455,0.57391,370.3,2024-09-16,262.11,2024-12-17,-8.4136,3.6586,1.5853,1.589,0.5024012,149.8709,149.8709,4.28,6.01,32.715,32.715,28.26619,30.0049,30.0049,1.7949,12.4732,12.4732,0.8429,0.8429,169.26,5.5342,5.5342,1.9065658,38.7052,38.8153,-0.11,2.7,111722.69,12.1249,12.1249,12.235899999999999,12.1249,12.235899999999999,-8.32,-2.03,46.75,-29.63,12.1249,12.235899999999999,12.1249,12.235899999999999,1.21,12.91,10.51,10.51,35.8526,35.8526,0.7042,0.7042,87300.69,4.397,0.0467,0.0467,2.3206,2.3206,-15.98,3.22,1.39,1.39,5.0,3.75,3.75,45.63,31.42,1.8719,1.8719,8.4243,8.4243,25.4224,25.4224,13.26629,25.4224,25.4224,25.4224,25.4224,9.7466,9.2725,4.05,2.13,2.13,17.3038,-12.1894,16.9475,-18.4542,21.0391,0.3533,0.3533,6.6124,6.6124,0.7275,0.7275,11.782,11.782,3.3622,3.3622,12.39,9.98,28.44,26.56,872.5469,889.7374,16.64,3.82,2.1999999999999997,2.21,12.53,8.37,8.290000000000001,7.4,4.7,4.66,42.4268,42.4268,5.77,0.7792,0.7792,16.7632
107,CINF,Buy,0.95475,-3.8238,6.1409,25.062866,0.7,161.745,2024-11-27,109.93,2024-04-26,21.6681,4.2298,0.3106,0.3193,0.7510261,89.0985,89.0985,8.04,-1.73,16.7967,16.7967,11.46028,8.04583,5.72976,2.1314,8.71,8.71,2.0769,1.8654,7.5,3.127,3.127,2.363809,19.2712,19.2712,3.21,-8.99,22881.064,14.5247,14.5247,14.523900000000001,14.5247,14.523900000000001,-7.08,3.73,-65.83,24.51,14.5247,14.523900000000001,14.5247,14.523900000000001,17.28,,,,,,0.0567,0.0567,22989.064,-1.3057,0.4075,0.4075,54.9245,54.9245,-4.31,15.59,20.22,20.22,19.69,25.68,25.68,21.38,21.38,1.6119,1.6119,8.6784,8.6784,10.0301,10.0301,,10.0301,10.0301,10.0301,10.0301,8.7511,8.7511,19.07,25.21,25.21,3.8211,3.9124,15.3958,11.6275,5.7929,2.0278,2.0278,1.52989,1.5165,1.8269,1.8654,,,2.0158,2.0158,5.59,7.43,-24.37,13.22,71.8441,71.7078,8.4,4.82,6.279999999999999,6.45,12.16,16.45,17.24,11.38,15.479999999999999,16.18,67.03374,67.71192,5.02117,0.0628,0.0628,1.517
108,CTAS,Buy,1.73941,-8.3235,-5.2376,28.704725,1.82286,228.12,2024-11-26,155.85,2024-03-15,23.3168,0.6243,1.0467,1.0869,1.1283739,10.6575,10.6398,-18.18,8.15,4.1241,4.5973,17.37396,0.8445,0.3033,0.7298,48.3299,43.5179,1.742,1.5791,-0.11,2.0955,1.4109,0.7993031,5.0675,5.8668,9.07,10.0,80726.046,3.801,3.801,4.1579999999999995,3.801,4.1579999999999995,13.81,13.47,21.66,20.39,3.801,4.1579999999999995,3.801,4.1579999999999995,16.12,46.93,48.83,49.62,10.7116,11.5208,0.4694,0.4721,78190.67,-6.7904,0.0338,0.0368,23.3458,21.7755,4.99,15.07,16.38,17.23,19.62,21.56,22.34,33.78,33.32,15.9036,21.2109,37.5956,34.6239,49.7525,45.6609,42.72767,45.6609,45.6609,49.7525,45.6609,46.812,42.1511,18.38,20.57,21.38,-0.6786,-7.4661,1.3922,13.2762,10.138,8.1477,7.8659,17.9138,23.939,1.4881,1.3412,8.0066,7.5179,0.2064,0.2138,10.48,6.84,7.77,8.12,23.2101,24.2057,8.08,14.6,17.14,18.72,33.17,36.41,40.61,19.52,23.14,25.259999999999998,9.4616,9.4273,9.15,0.5735,0.6191,5.8621
109,CSCO,Buy,19.60893,2.9186,23.5909,18.525309,20.09897,66.5,2025-02-13,44.5,2024-08-12,23.2373,-0.2646,0.4325,0.4403,0.8987292,11.3444,11.4483,7.51,-5.92,2.548,3.221,3.73,4.4557,4.2376,2.6704,25.6977,20.4819,0.9083,0.8666,3.23,1.5816,1.5961,2.6933815,3.1361,2.7826,-2.36,-0.32,262373.03,2.5406,2.5406,2.2821000000000002,2.5406,2.2821000000000002,0.54,-0.54,-6.26,-30.57,2.5406,2.2821000000000002,2.5406,2.2821000000000002,-7.31,63.66,64.73,65.13,5.4083,6.1571,0.4316,0.431,239891.03,-5.9429,0.1142,0.1016,20.8684,936.5833,-3.05,21.65,19.18,16.96,25.9,22.64,18.98,61.86,69.73,4.2533,5.1681,22.0488,17.6352,23.2453,26.112,15.73916,26.112,26.112,23.2453,26.112,23.4957,18.7269,26.53,22.74,18.06,10.5635,21.3624,1.4673,13.1967,6.134,4.4587,4.428,5.647,6.6486,0.8252,0.7935,6.3903,7.1037,0.5952,0.5993,2.6,0.72,9.38,-5.34,13.2454,13.5271,2.59,11.18,8.290000000000001,7.470000000000001,27.21,22.7,20.19,20.56,13.5,11.93,8.5445,8.8989,1.77,0.6811,0.6817,1.8581
110,C,Buy,3.96227,-2.418,21.1734,31.374582,5.29104,84.735,2025-02-18,53.51,2024-08-05,21.8886,3.3407,,,1.2961521,111.1295,111.1295,3.98,4.03,-13.9414,-13.9414,8.7165,170.3001,123.4899,3.9233,,,,,2.51,2.7507,2.7507,3.202745,11.0082,11.0083,-5.14,-6.48,709576.61,6.5368,6.5368,6.5359,6.5368,6.5359,-15.18,-5.26,,39.68,6.5368,6.5359,6.5368,6.5359,,,,,,,1.3365,1.3365,132516.61,-12.1701,0.0554,0.0554,,,-1.80381,23.18555,20.13062,17.3666,28.99823,24.96515,23.01502,41.0,41.0,0.6382,0.6382,,,10.4492,10.4492,6.35881,10.4492,10.4492,10.4492,10.4492,6.8178,5.7347,28.99823,24.96515,23.01502,5.2269,18.9449,-7.8758,11.848,4.0344,1.1491,1.09533,0.6522,0.6522,,,,,325131.6,,-0.9243,3.85739,74.89332,99.23775,38.35107,40.3204,7.39387,0.6,0.54,0.53,6.87,6.08,6.09,1.95,1.6099999999999999,1.5699999999999998,108.7353,108.7353,1.61,2.7664,2.7664,-0.2415
111,CFG,Buy,1.78027,-11.3995,2.4,27.16427,1.43796,49.245,2024-11-25,32.06,2024-04-16,22.3052,1.2108,,,1.0744491,55.0547,55.0547,1.43,-19.73,4.2652,4.2652,5.01098,21.4247,33.03149,5.0556,16.0773,16.0773,,,5.59,1.9913,1.9913,4.1015625,5.2612,5.2586,-3.72,-2.95,30209.291,3.3274,3.3274,3.3296,3.3274,3.3296,-15.04,-3.47,123.11,-0.86,3.3274,3.3296,3.3274,3.3296,7.14,,,,,,0.4536,0.4536,17861.291,-10.5091,0.0873,0.0873,,,2.22925,26.12307,25.84466,24.5614,33.23584,33.10061,31.44855,59.84,59.84,0.7951,0.7951,8.9262,8.9262,11.8365,11.8365,6.55029,11.8365,11.8365,11.8365,11.8365,9.5057,9.5057,33.23584,33.10061,31.44855,-3.7546,0.1715,-5.0991,12.2646,-2.1226,1.56183,1.48499,0.8274,0.7999,,,,,441296.2,,4.48679,7.48996,31.79279,62.72879,16.78725,17.45359,8.17979,0.83,0.69,0.69,7.23,6.22,6.23,5.29,4.12,4.109999999999999,52.9074,54.7233,1.82,0.5091,0.5091,-6.3985
