,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Consensus
316,1364.44,36.767445,0.023199999800000003,37.11,1133.46,1546.93,28793366528.0,1142445056.0,7.6532793,2.55260952,Hold
317,34.48,12.358423,0.037080001200000004,2.79,31.61,48.25,10266075136.0,2556987904.0,0.5961143,3.167371,Buy
318,54.3,37.708332,0.033,1.44,53.98,100.57,29159641088.0,1950800000.0,5.3050323,4.646188,Buy
319,91.24,26.523254,0.0044,3.44,79.15,157.54,103061061632.0,8944000000.0,4.10422,2.2420444,Buy
320,415.06,33.44561,0.0075,12.41,385.58,468.35,3085547601920.0,136551997440.0,12.138745,11.492731,Buy
321,152.58,34.44244,0.0399,4.43,121.51,167.39,18302885888.0,1247618048.0,8.38263,2.997937,Buy
322,39.42,206.5271569,0.018299999400000003,-5.81,31.94,170.47,15169524736.0,-2361999872.0,2.9855392,1.2724749,Hold
323,122.3,13.819209,0.029040000099999998,8.85,101.83,164.29,7719735296.0,1549473024.0,0.713996,0.9831348,Buy
324,310.41,15.7969475,0.0113799998,19.65,272.69,423.92,17755451392.0,1814000000.0,0.4729238,3.7093112,Hold
325,54.75,12.331081,0.0319,4.44,49.19,69.18,11286548480.0,2418400000.0,0.96613216,0.8471823,Hold
326,57.99,20.563831,0.0322,2.82,55.97,77.2,77543653376.0,7414000128.0,2.1449933,2.7839656,Buy
327,637.37,72.0192,0.007900001,8.85,546.71,959.64,31090909184.0,522235008.0,15.244774,13.2204275,Buy
328,48.71,31.22436,0.0183799995,1.56,43.32,61.23,47371448320.0,2105284992.0,6.3922386,8.1961975,Buy
329,499.44,45.69442,0.0068,10.93,360.05,505.775,90514014208.0,3313999872.0,13.125582,23.179096,Buy
330,138.43,17.412579,0.028299998,7.95,83.09,141.48,222457004032.0,8949399961.6,3.8169074,2.376644,Buy
331,27.89,24.681416,0.0308,1.13,23.56,33.44,8859118592.0,1908199936.0,0.7732899,0.7507605,Hold
332,469.25,51.45285,0.0092,9.12,314.84,507.82,78421524480.0,3152000000.0,7.3600683,59.0623,Buy
333,596.77,42.444523,0.010199999,14.06,439.95,642.45,46769639424.0,1622592000.0,16.687202,4.90572024,Buy
334,82.34,42.66321,0.0117999995,1.93,54.9,83.77,47325573120.0,2512000000.0,6.7444167,4.274294,Buy
335,122.1,22.527676,0.0164,5.42,83.8,135.45,24823662592.0,1582000000.0,3.8926866,21.948587,Buy
336,976.76,49.009533,0.01862,19.93,542.01,999.0,417815920640.0,9976898560.0,11.115886,18.376385,Buy
