,Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Total USD,Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Price / Share (GBP)
900,Dividend,2021-11-17,13:24:21,O,Realty Income,25.0,0.2,USD,,,,3.72,GBP,,0.89,USD,,,,,
901,Dividend,2021-11-17,13:39:05,OHI,Omega Healthcare Investors,36.0,0.57,USD,,,,15.22,GBP,,3.62,USD,,,,,
902,Dividend,2021-11-17,13:47:23,PBCT,People's United Financial,47.0,0.16,USD,,,,5.42,GBP,,1.29,USD,,,,,
903,Deposit,2021-11-19,16:57:25,,,,,,,,,400.0,GBP,,,,400,GBP,,,
904,Market buy,2021-11-19,17:10:17,HON,Honeywell International,1.0,219.39,USD,1.34656,,GBP,163.17,GBP,,,,,,,,162.92627138783268
905,Market buy,2021-11-19,17:11:06,AMT,American Tower,1.0,262.09,USD,1.3467,,GBP,194.91,GBP,,,,,,,,194.61646988935917
906,Market buy,2021-11-19,17:13:32,AWR,American States Water,1.0,95.8,USD,1.34679,,GBP,71.24,GBP,,,,,,,,71.1320992879365
907,Market buy,2021-11-19,17:15:57,RITM,Rithm Capital,3.0,11.11,USD,1.34696,,GBP,24.78,GBP,,,,,,,,8.248203361643998
908,Dividend,2021-11-22,13:55:33,CAT,Caterpillar,21.0,0.94,USD,,,,14.73,GBP,,3.5,USD,,,,,
909,Dividend,2021-11-22,18:09:41,PETS,PetMed Express,101.0,0.26,USD,,,,19.23,GBP,,4.55,USD,,,,,
910,Dividend,2021-11-24,9:41:23,WELL,Welltower,31.0,0.52,USD,,,,12.02,GBP,,2.84,USD,,,,,
911,Deposit,2021-11-26,18:23:15,,,,,,,,,400.0,GBP,,,,400,GBP,,,
912,Market buy,2021-11-26,14:30:02,RITM,Rithm Capital,12.0,11.09,USD,1.33365,,GBP,99.94,GBP,,,,,,,,8.315525062797585
913,Market buy,2021-11-29,14:30:01,WELL,Welltower,6.0,82.34,USD,1.33082,,GBP,371.77,GBP,,,,,,,,61.87162801881547
914,Market buy,2021-11-29,14:30:07,NLY,Annaly Capital Management,5.0,8.42,USD,1.33082,,GBP,31.68,GBP,,,,,,,,6.3269262559925465
915,Deposit,2021-11-29,17:37:02,,,,,,,,,1500.0,GBP,,,,1500,GBP,,,
916,Market buy,2021-11-29,18:05:20,WM,Waste Management,2.0,167.82,USD,1.33028,,GBP,252.69,GBP,,,,,,,,126.1538924136272
917,Market buy,2021-11-29,18:08:25,MDT,Medtronic,5.0,110.92,USD,1.33055,,GBP,417.43,GBP,,,,,,,,83.36402239675323
918,Market buy,2021-11-29,18:12:14,COST,Costco Wholesale,1.0,559.67,USD,1.33075,,GBP,421.2,GBP,,,,,,,,420.5673492391508
919,Market buy,2021-11-29,18:13:38,AAPL,Apple,1.0,160.51,USD,1.33056,,GBP,120.81,GBP,,,,,,,,120.63341750841751
920,Market buy,2021-11-29,18:14:18,HI,Hillenbrand,3.0,46.25,USD,1.33043,,GBP,104.45,GBP,,,,,,,,34.763196861165184
921,Market buy,2021-11-29,18:15:56,RITM,Rithm Capital,19.883543,11.08,USD,1.33035,,GBP,165.85,GBP,,,,,,,,8.328635321531928
922,Market buy,2021-11-29,18:19:02,RITM,Rithm Capital,2.116457,11.07,USD,1.33023,,GBP,17.64,GBP,,,,,,,,8.321869150447666
923,Dividend,2021-12-01,15:16:00,LTC,LTC Properties,49.0,0.16,USD,,,,5.94,GBP,,1.4,USD,,,,,
924,Dividend,2021-12-01,15:35:21,GOOD,Gladstone Commercial,27.0,0.11,USD,,,,2.16,GBP,,0.51,USD,,,,,
925,Dividend,2021-12-01,15:16:00,LTC,LTC Properties,46.0,0.16,USD,,,,5.57,GBP,,1.31,USD,,,,,
926,Dividend,2021-12-01,15:35:21,GOOD,Gladstone Commercial,129.0,0.11,USD,,,,10.32,GBP,,2.42,USD,,,,,
927,Dividend,2021-12-02,11:48:19,WTRG,Essential Utilities,22.0,0.23,USD,,,,3.76,GBP,,0.89,USD,,,,,
928,Dividend,2021-12-02,15:19:29,AWR,American States Water,2.0,0.31,USD,,,,0.47,GBP,,0.11,USD,,,,,
929,Dividend,2021-12-02,11:48:19,WTRG,Essential Utilities,42.0,0.23,USD,,,,7.18,GBP,,1.69,USD,,,,,
930,Dividend,2021-12-02,15:19:29,AWR,American States Water,28.0,0.31,USD,,,,6.52,GBP,,1.53,USD,,,,,
931,Dividend,2021-12-06,12:59:52,HON,Honeywell International,4.0,0.83,USD,,,,2.51,GBP,,0.59,USD,,,,,
932,Dividend,2021-12-06,12:59:52,HON,Honeywell International,9.0,0.83,USD,,,,5.65,GBP,,1.32,USD,,,,,
933,Dividend,2021-12-08,15:28:41,JNJ,Johnson & Johnson,7.0,0.9,USD,,,,4.77,GBP,,1.11,USD,,,,,
934,Dividend,2021-12-08,15:28:41,JNJ,Johnson & Johnson,8.0,0.9,USD,,,,5.45,GBP,,1.27,USD,,,,,
935,Dividend,2021-12-09,10:43:24,V,Visa,1.0,0.32,USD,,,,0.24,GBP,,0.06,USD,,,,,
936,Dividend,2021-12-09,10:43:24,V,Visa,10.0,0.32,USD,,,,2.41,GBP,,0.56,USD,,,,,
937,Dividend,2021-12-13,17:55:24,TGT,Target,22.0,0.77,USD,,,,12.72,GBP,,2.97,USD,,,,,
938,Dividend,2021-12-14,16:44:55,MMM,3M,17.0,1.26,USD,,,,16.14,GBP,,3.77,USD,,,,,
939,Dividend,2021-12-16,14:30:12,CWEN,Clearway Energy,102.0,0.29,USD,,,,22.17,GBP,,5.2,USD,,,,,
940,Dividend,2021-12-16,16:07:51,NEE,NextEra Energy,42.0,0.33,USD,,,,10.29,GBP,,2.43,USD,,,,,
941,Dividend,2021-12-17,14:27:57,QCOM,Qualcomm,26.0,0.58,USD,,,,11.31,GBP,,2.65,USD,,,,,
942,Dividend,2021-12-17,13:40:35,HD,Home Depot,12.0,1.4,USD,,,,12.64,GBP,,2.97,USD,,,,,
943,Dividend,2021-12-17,14:27:57,QCOM,Qualcomm,2.0,0.58,USD,,,,0.87,GBP,,0.2,USD,,,,,
944,Dividend,2021-12-20,15:09:56,WM,Waste Management,8.0,0.49,USD,,,,2.96,GBP,,0.69,USD,,,,,
945,Deposit,2021-12-20,19:35:03,,,,,,,,,300.0,GBP,,,,300,GBP,,,
946,Market buy,2021-12-20,20:33:43,WM,Waste Management,1.0,160.37,USD,1.32045,,GBP,121.63,GBP,,,,,,,,121.45102048544058
947,Market buy,2021-12-20,20:34:51,MMM,3M,1.0,171.99,USD,1.32046,,GBP,130.45,GBP,,,,,,,,130.2500643715069
948,Market buy,2021-12-20,20:36:43,WELL,Welltower,1.0,80.16,USD,1.32049,,GBP,60.79,GBP,,,,,,,,60.7047383925664
949,Market buy,2021-12-20,20:38:04,STOR,STORE Capital,1.0,32.46,USD,1.32058,,GBP,24.62,GBP,,,,,,,,24.580108740099046
950,Dividend,2021-12-20,15:09:56,WM,Waste Management,10.0,0.49,USD,,,,3.69,GBP,,0.86,USD,,,,,
951,Dividend,2021-12-21,8:15:19,O,Realty Income,40.0,0.21,USD,,,,6.32,GBP,,1.48,USD,,,,,
952,Dividend,2021-12-21,13:36:52,HRZN,Horizon Technology Finance,183.0,0.13,USD,,,,17.62,GBP,,4.12,USD,,,,,
953,Deposit,2021-12-21,13:44:55,,,,,,,,,700.0,GBP,,,,700,GBP,,,
954,Market buy,2021-12-21,14:30:01,HI,Hillenbrand,4.0,49.02,USD,1.32558,,GBP,148.14,GBP,,,,,,,,36.98003892635677
955,Market buy,2021-12-21,14:30:02,HON,Honeywell International,1.0,201.25,USD,1.32558,,GBP,152.05,GBP,,,,,,,,151.8203352494757
956,Market buy,2021-12-21,14:30:02,EXR,Extra Space Storage,0.7330864,218.19,USD,1.32559,,GBP,120.84,GBP,,,,,,,,164.59840523842212
957,Market buy,2021-12-21,14:30:03,RITM,Rithm Capital,4.0,10.62,USD,1.32561,,GBP,32.1,GBP,,,,,,,,8.011406069658497
958,Market buy,2021-12-21,14:30:17,EXR,Extra Space Storage,0.2669136,218.19,USD,1.32551,,GBP,44.01,GBP,,,,,,,,164.608339431615
959,Market buy,2021-12-21,14:30:25,NKE,Nike,1.0,167.32,USD,1.32554,,GBP,126.42,GBP,,,,,,,,126.22780149976613
960,Deposit,2021-12-21,14:34:23,,,,,,,,,100.0,GBP,,,,100,GBP,,,
961,Market buy,2021-12-21,14:34:39,NKE,Nike,1.0,168.16,USD,1.32543,,GBP,127.06,GBP,,,,,,,,126.87203398142488
962,Market buy,2021-12-21,14:42:36,HRZN,Horizon Technology Finance,5.0,15.7,USD,1.32476,,GBP,59.35,GBP,,,,,,,,11.851203236812706
963,Market buy,2021-12-21,14:43:50,HRZN,Horizon Technology Finance,2.0,15.68,USD,1.32456,,GBP,23.72,GBP,,,,,,,,11.837893338165127
964,Dividend,2021-12-21,8:15:19,O,Realty Income,25.0,0.21,USD,,,,3.95,GBP,,0.92,USD,,,,,
965,Deposit,2021-12-22,11:56:10,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
966,Market buy,2021-12-22,15:00:22,PBCT,People's United Financial,10.0,17.13,USD,1.33237,,GBP,128.76,GBP,,,,,,,,12.856789030074227
967,Market buy,2021-12-22,15:00:48,PETS,PetMed Express,11.324616,26.13,USD,1.33257,,GBP,222.39,GBP,,,,,,,,19.608725995632497
968,Market buy,2021-12-22,15:01:27,HRZN,Horizon Technology Finance,10.0,15.85,USD,1.33247,,GBP,119.13,GBP,,,,,,,,11.895202143387843
969,Market buy,2021-12-22,15:02:30,NLY,Annaly Capital Management,13.0,8.12,USD,1.33271,,GBP,79.33,GBP,,,,,,,,6.0928484066300985
970,Market buy,2021-12-22,15:03:35,NLY,Annaly Capital Management,10.0,8.12,USD,1.33311,,GBP,61.0,GBP,,,,,,,,6.091020245891186
971,Market buy,2021-12-22,15:03:36,PETS,PetMed Express,3.675384,26.13,USD,1.33307,,GBP,72.15,GBP,,,,,,,,19.601371270825986
972,Market buy,2021-12-22,15:52:52,HASI,Hannon Armstrong Sustainable Infrastructure Capital,5.0,53.46,USD,1.33429,,GBP,200.63,GBP,,,,,,,,40.06625246385718
973,Market buy,2021-12-22,15:53:57,HASI,Hannon Armstrong Sustainable Infrastructure Capital,2.0,53.46,USD,1.33429,,GBP,80.25,GBP,,,,,,,,40.06625246385718
974,Market buy,2021-12-22,15:57:43,NYMT,New York Mortgage Trust,12.0,3.87,USD,1.33438,,GBP,34.85,GBP,,,,,,,,2.9002233246901183
975,Market buy,2021-12-22,14:56:23,PETS,PetMed Express,6.0,26.14,USD,1.33249,,GBP,117.88,GBP,,,,,,,,19.617408010566685
976,Dividend,2021-12-24,7:39:30,O,Realty Income,40.0,0.0,USD,,,,0.01,GBP,,0.0,USD,,,,,
977,Deposit,2021-12-27,17:55:04,,,,,,,,,200.0,GBP,,,,200,GBP,,,
978,Market buy,2021-12-27,19:38:05,AAPL,Apple,1.0,179.89,USD,1.34377,,GBP,134.07,GBP,,,,,,,,133.869635428682
979,Market buy,2021-12-27,19:39:45,HI,Hillenbrand,1.0,53.07,USD,1.34375,,GBP,39.55,GBP,,,,,,,,39.49395348837209
980,Market buy,2021-12-27,19:45:21,CWEN/A,Clearway Energy,1.0,33.3,USD,1.34393,,GBP,24.82,GBP,,,,,,,,24.77807623908983
981,Dividend,2021-12-29,9:35:24,NKE,Nike,18.0,0.26,USD,,,,3.48,GBP,,0.82,USD,,,,,
982,Dividend,2021-12-31,13:01:21,UNP,Union Pacific,4.0,1.0,USD,,,,2.98,GBP,,0.71,USD,,,,,
983,Dividend,2021-12-31,13:24:05,PSA,Public Storage,3.0,1.7,USD,,,,3.78,GBP,,0.9,USD,,,,,
984,Dividend,2021-12-31,15:12:20,HI,Hillenbrand,19.0,0.18,USD,,,,2.6,GBP,,0.62,USD,,,,,
985,Dividend,2021-12-31,13:01:21,UNP,Union Pacific,9.0,1.0,USD,,,,6.69,GBP,,1.59,USD,,,,,
986,Dividend,2021-12-31,13:24:05,PSA,Public Storage,7.0,1.7,USD,,,,8.83,GBP,,2.1,USD,,,,,
987,Dividend,2021-12-31,15:12:20,HI,Hillenbrand,63.0,0.18,USD,,,,8.62,GBP,,2.06,USD,,,,,
988,Dividend,2022-01-03,11:54:42,AVGO,Broadcom,7.0,3.49,USD,,,,18.06,GBP,,4.31,USD,,,,,
989,Dividend,2022-01-03,13:53:49,EXR,Extra Space Storage,3.0,1.06,USD,,,,2.36,GBP,,0.56,USD,,,,,
990,Dividend,2022-01-03,14:09:05,GOOD,Gladstone Commercial,27.0,0.11,USD,,,,2.13,GBP,,0.51,USD,,,,,
991,Dividend,2022-01-03,14:21:31,ICE,Intercontinental Exchange,5.0,0.28,USD,,,,1.04,GBP,,0.25,USD,,,,,
992,Dividend,2022-01-03,14:49:29,SPG,Simon Property,4.0,1.4,USD,,,,4.16,GBP,,0.99,USD,,,,,
993,Dividend,2022-01-03,15:12:26,SCI,Service Corp International,14.0,0.2,USD,,,,2.03,GBP,,0.48,USD,,,,,
994,Dividend,2022-01-03,15:30:09,LTC,LTC Properties,49.0,0.16,USD,,,,5.89,GBP,,1.4,USD,,,,,
995,Dividend,2022-01-03,11:54:42,AVGO,Broadcom,2.0,3.49,USD,,,,5.16,GBP,,1.23,USD,,,,,
996,Dividend,2022-01-03,13:53:49,EXR,Extra Space Storage,15.0,1.06,USD,,,,11.82,GBP,,2.81,USD,,,,,
997,Dividend,2022-01-03,14:09:05,GOOD,Gladstone Commercial,129.0,0.11,USD,,,,10.18,GBP,,2.42,USD,,,,,
998,Dividend,2022-01-03,14:21:31,ICE,Intercontinental Exchange,18.0,0.28,USD,,,,3.75,GBP,,0.89,USD,,,,,
999,Dividend,2022-01-03,14:49:29,SPG,Simon Property,20.0,1.4,USD,,,,20.81,GBP,,4.95,USD,,,,,
1000,Dividend,2022-01-03,15:12:26,SCI,Service Corp International,36.0,0.2,USD,,,,5.23,GBP,,1.24,USD,,,,,
1001,Dividend,2022-01-03,15:30:09,LTC,LTC Properties,46.0,0.16,USD,,,,5.53,GBP,,1.31,USD,,,,,
1002,Deposit,2022-01-04,14:22:52,,,,,,,,,700.0,GBP,,,,700,GBP,,,
1003,Market buy,2022-01-04,15:16:37,AVGO,Broadcom,1.0,667.77,USD,1.35386,,GBP,493.97,GBP,,,,,,,,493.2341601051807
1004,Market buy,2022-01-04,15:20:11,CAT,Caterpillar,1.0,214.63,USD,1.35393,,GBP,158.76,GBP,,,,,,,,158.52370506599306
1005,Market buy,2022-01-04,15:25:15,O,Realty Income,1.0,71.65,USD,1.35433,,GBP,52.98,GBP,,,,,,,,52.904388147644966
1006,Market buy,2022-01-04,15:30:08,NLY,Annaly Capital Management,7.0,8.07,USD,1.35458,,GBP,41.76,GBP,,,,,,,,5.9575661828758735
1007,Dividend,2022-01-06,9:00:56,STX,Seagate Technology,5.956521738,0.53,USD,,,,2.32,GBP,,1.04,USD,,,,,
1008,Dividend,2022-01-06,9:00:56,STX,Seagate Technology,0.043478262,0.7,USD,,,,0.02,GBP,,0.0,USD,,,,,
1009,Dividend,2022-01-06,9:00:56,STX,Seagate Technology,27.0,0.53,USD,,,,10.5,GBP,,4.73,USD,,,,,
1010,Dividend,2022-01-10,12:50:56,MRK,Merck & Co,19.0,0.59,USD,,,,8.21,GBP,,1.97,USD,,,,,
1011,Dividend,2022-01-10,12:50:56,MRK,Merck & Co,24.0,0.59,USD,,,,10.37,GBP,,2.48,USD,,,,,
1012,Dividend,2022-01-12,8:32:35,HASI,Hannon Armstrong Sustainable Infrastructure Capital,25.0,0.3,USD,,,,5.46,GBP,,1.31,USD,,,,,
1013,Dividend,2022-01-12,8:32:35,HASI,Hannon Armstrong Sustainable Infrastructure Capital,45.0,0.3,USD,,,,9.82,GBP,,2.36,USD,,,,,
1014,Market buy,2022-01-12,14:30:04,SPG,Simon Property,1.0,162.77,USD,1.36866,,GBP,119.11,GBP,,,,,,,,118.92654128855962
1015,Dividend,2022-01-17,9:37:01,AMT,American Tower,3.0,1.18,USD,,,,2.59,GBP,,0.63,USD,,,,,
1016,Dividend,2022-01-17,10:33:20,O,Realty Income,40.0,0.21,USD,,,,6.13,GBP,,1.48,USD,,,,,
1017,Dividend,2022-01-17,10:45:29,DLR,Digital Realty Trust,5.0,0.99,USD,,,,3.6,GBP,,0.87,USD,,,,,
1018,Dividend,2022-01-17,11:46:07,MDT,Medtronic,10.9820688,0.47,USD,,,,3.8,GBP,,1.73,USD,,,,,
1019,Dividend,2022-01-17,11:46:26,MDT,Medtronic,0.017931199,0.63,USD,,,,0.01,GBP,,0.0,USD,,,,,
1020,Dividend,2022-01-17,11:49:42,HRZN,Horizon Technology Finance,183.0,0.09,USD,,,,11.39,GBP,,2.75,USD,,,,,
1021,Dividend,2022-01-17,9:37:01,AMT,American Tower,8.0,1.18,USD,,,,6.91,GBP,,1.67,USD,,,,,
1022,Dividend,2022-01-17,10:33:20,O,Realty Income,25.0,0.21,USD,,,,3.83,GBP,,0.92,USD,,,,,
1023,Dividend,2022-01-17,10:45:29,DLR,Digital Realty Trust,16.0,0.99,USD,,,,11.53,GBP,,2.78,USD,,,,,
1024,Dividend,2022-01-17,11:46:07,MDT,Medtronic,13.0,0.47,USD,,,,4.5,GBP,,2.05,USD,,,,,
1025,Dividend,2022-01-19,9:23:29,ECL,Ecolab,2.0,0.43,USD,,,,0.64,GBP,,0.15,USD,,,,,
1026,Dividend,2022-01-19,10:12:47,STOR,STORE Capital,87.0,0.33,USD,,,,20.91,GBP,,5.02,USD,,,,,
1027,Dividend,2022-01-19,9:23:29,ECL,Ecolab,9.0,0.43,USD,,,,2.87,GBP,,0.69,USD,,,,,
1028,Dividend,2022-01-19,10:12:47,STOR,STORE Capital,4.0,0.33,USD,,,,0.96,GBP,,0.23,USD,,,,,
1029,Deposit,2022-01-20,20:11:32,,,,,,,,,300.0,GBP,,,,300,GBP,,,
1030,Market buy,2022-01-20,20:15:19,AMT,American Tower,1.0,249.09,USD,1.36071,,GBP,183.33,GBP,,,,,,,,183.05884427982448
1031,Market buy,2022-01-20,20:17:09,WM,Waste Management,1.0,154.36,USD,1.36088,,GBP,113.6,GBP,,,,,,,,113.42660631356182
1032,Market buy,2022-01-20,20:20:01,HRZN,Horizon Technology Finance,5.0,15.87,USD,1.36099,,GBP,58.39,GBP,,,,,,,,11.6606293947788
1033,Deposit,2022-01-25,15:44:36,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1034,Market buy,2022-01-25,16:41:37,HASI,Hannon Armstrong Sustainable Infrastructure Capital,7.0,38.24,USD,1.34891,,GBP,198.74,GBP,,,,,,,,28.348814969123218
1035,Market buy,2022-01-25,16:48:23,STOR,STORE Capital,2.0,30.18,USD,1.34923,,GBP,44.81,GBP,,,,,,,,22.36831377897023
1036,Dividend,2022-01-26,8:33:19,NYMT,New York Mortgage Trust,292.0,0.09,USD,,,,18.38,GBP,,4.38,USD,,,,,
1037,Dividend,2022-01-26,8:33:19,NYMT,New York Mortgage Trust,336.0,0.09,USD,,,,21.15,GBP,,5.04,USD,,,,,
1038,Dividend,2022-01-27,11:33:20,CMCSA,Comcast,14.0,0.21,USD,,,,2.22,GBP,,0.53,USD,,,,,
1039,Dividend,2022-01-27,11:33:20,CMCSA,Comcast,36.0,0.21,USD,,,,5.71,GBP,,1.35,USD,,,,,
1040,Deposit,2022-01-28,15:49:55,,,,,,,,,1100.0,GBP,,,,1100,GBP,,,
1041,Dividend,2022-01-31,9:41:42,RITM,Rithm Capital,103.0,0.21,USD,,,,16.28,GBP,,3.86,USD,,,,,
1042,Market buy,2022-01-31,14:30:07,COST,Costco Wholesale,1.0,491.29,USD,1.34333,,GBP,366.27,GBP,,,,,,,,365.7254732642017
1043,Market buy,2022-01-31,14:30:56,HD,Home Depot,1.0,366.0,USD,1.34365,,GBP,272.8,GBP,,,,,,,,272.3923640829085
1044,Market buy,2022-01-31,14:33:01,PSA,Public Storage,0.6516078,359.94,USD,1.34363,,GBP,174.82,GBP,,,,,,,,267.88624844637286
1045,Market buy,2022-01-31,14:33:17,PSA,Public Storage,0.3483922,359.77,USD,1.34353,,GBP,93.43,GBP,,,,,,,,267.7796550877167
1046,Market buy,2022-01-31,14:34:26,CAT,Caterpillar,1.0,196.55,USD,1.34362,,GBP,146.5,GBP,,,,,,,,146.28391956059005
1047,Market buy,2022-01-31,14:35:32,O,Realty Income,1.0,68.52,USD,1.34374,,GBP,51.07,GBP,,,,,,,,50.99200738238052
1048,Market buy,2022-01-31,14:37:27,HI,Hillenbrand,1.0,45.8,USD,1.34346,,GBP,34.14,GBP,,,,,,,,34.09107826061066
1049,Dividend,2022-01-31,9:41:42,RITM,Rithm Capital,181.0,0.21,USD,,,,28.61,GBP,,6.79,USD,,,,,
1050,Market buy,2022-01-31,14:37:14,O,Realty Income,1.0,68.6,USD,1.34354,,GBP,51.14,GBP,,,,,,,,51.059142265954115
1051,Dividend,2022-02-01,8:45:05,NLY,Annaly Capital Management,110.0,0.19,USD,,,,15.27,GBP,,3.63,USD,,,,,
1052,Dividend,2022-02-01,8:55:49,LTC,LTC Properties,49.0,0.16,USD,,,,5.87,GBP,,1.4,USD,,,,,
1053,Dividend,2022-02-01,9:15:56,GOOD,Gladstone Commercial,27.0,0.11,USD,,,,2.13,GBP,,0.51,USD,,,,,
1054,Dividend,2022-02-01,8:45:05,NLY,Annaly Capital Management,268.0,0.19,USD,,,,37.2,GBP,,8.84,USD,,,,,
1055,Dividend,2022-02-01,8:55:49,LTC,LTC Properties,46.0,0.16,USD,,,,5.51,GBP,,1.31,USD,,,,,
1056,Dividend,2022-02-01,9:15:56,GOOD,Gladstone Commercial,129.0,0.11,USD,,,,10.19,GBP,,2.43,USD,,,,,
1057,Dividend,2022-02-02,8:56:09,VZ,Verizon Communications,27.0,0.54,USD,,,,10.85,GBP,,2.59,USD,,,,,
1058,Dividend,2022-02-02,8:56:09,VZ,Verizon Communications,33.0,0.54,USD,,,,13.26,GBP,,3.17,USD,,,,,
1059,Dividend,2022-02-02,9:14:56,T,AT&T,78.0,0.44,USD,,,,25.47,GBP,,6.08,USD,,,,,
1060,Deposit,2022-02-10,12:08:30,,,,,,,,,1.71,GBP,,,,1.71,GBP,,,
1061,Deposit,2022-02-10,12:08:30,,,,,,,,,6.0,GBP,,,,6,GBP,,,
1062,Dividend,2022-02-11,11:34:57,AAPL,Apple,12.0,0.19,USD,,,,1.65,GBP,,0.4,USD,,,,,
1063,Dividend,2022-02-11,11:34:57,AAPL,Apple,20.0,0.19,USD,,,,2.76,GBP,,0.66,USD,,,,,
1064,Dividend,2022-02-14,8:56:11,SBNY,Signature Bank,14.0,0.48,USD,,,,4.94,GBP,,1.18,USD,,,,,
1065,Dividend,2022-02-14,8:56:11,SBNY,Signature Bank,5.0,0.48,USD,,,,1.76,GBP,,0.42,USD,,,,,
1066,Dividend,2022-02-16,9:51:28,ABBV,AbbVie,7.0,1.2,USD,,,,6.19,GBP,,1.48,USD,,,,,
1067,Dividend,2022-02-16,14:36:21,PBCT,People's United Financial,134.0,0.16,USD,,,,15.32,GBP,,3.67,USD,,,,,
1068,Dividend,2022-02-16,14:44:05,OHI,Omega Healthcare Investors,42.0,0.57,USD,,,,17.62,GBP,,4.22,USD,,,,,
1069,Dividend,2022-02-16,14:46:59,O,Realty Income,41.0,0.21,USD,,,,6.33,GBP,,1.52,USD,,,,,
1070,Dividend,2022-02-16,9:51:28,ABBV,AbbVie,22.0,1.2,USD,,,,19.44,GBP,,4.65,USD,,,,,
1071,Dividend,2022-02-16,10:15:56,AOS,A O Smith,62.0,0.24,USD,,,,10.88,GBP,,2.6,USD,,,,,
1072,Dividend,2022-02-16,14:36:21,PBCT,People's United Financial,47.0,0.16,USD,,,,5.37,GBP,,1.29,USD,,,,,
1073,Dividend,2022-02-16,14:44:05,OHI,Omega Healthcare Investors,36.0,0.57,USD,,,,15.1,GBP,,3.62,USD,,,,,
1074,Dividend,2022-02-16,14:46:59,O,Realty Income,25.0,0.21,USD,,,,3.86,GBP,,0.92,USD,,,,,
1075,Dividend,2022-02-21,8:55:17,CAT,Caterpillar,1.0,0.94,USD,,,,0.69,GBP,,0.17,USD,,,,,
1076,Dividend,2022-02-21,9:05:52,COST,Costco Wholesale,4.0,0.67,USD,,,,1.97,GBP,,0.47,USD,,,,,
1077,Dividend,2022-02-21,10:39:49,PETS,PetMed Express,15.0,0.26,USD,,,,2.81,GBP,,0.68,USD,,,,,
1078,Dividend,2022-02-21,14:39:35,HRZN,Horizon Technology Finance,200.0,0.09,USD,,,,12.49,GBP,,3.0,USD,,,,,
1079,Dividend,2022-02-21,8:55:17,CAT,Caterpillar,21.0,0.94,USD,,,,14.53,GBP,,3.5,USD,,,,,
1080,Dividend,2022-02-21,9:05:52,COST,Costco Wholesale,6.0,0.67,USD,,,,2.96,GBP,,0.71,USD,,,,,
1081,Dividend,2022-02-21,10:39:49,PETS,PetMed Express,107.0,0.26,USD,,,,20.02,GBP,,4.82,USD,,,,,
1082,Deposit,2022-02-23,8:58:34,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1083,Market buy,2022-02-23,14:30:01,STOR,STORE Capital,9.883381,30.5,USD,1.35875,,GBP,222.18,GBP,,,,,,,,22.447102115915364
1084,Market buy,2022-02-23,14:30:02,RITM,Rithm Capital,3.0,10.45,USD,1.35872,,GBP,23.1,GBP,,,,,,,,7.691062176165803
1085,Market buy,2022-02-23,14:30:18,STOR,STORE Capital,3.116619,30.59,USD,1.35869,,GBP,70.28,GBP,,,,,,,,22.514333659628026
1086,Market buy,2022-02-23,14:30:03,MMM,3M,1.0,146.8,USD,1.35873,,GBP,108.2,GBP,,,,,,,,108.04206869650336
1087,Market buy,2022-02-23,14:30:06,WTRG,Essential Utilities,2.0,45.61,USD,1.35873,,GBP,67.24,GBP,,,,,,,,33.568111398143856
1088,Deposit,2022-02-25,17:12:33,,,,,,,,,1000.0,GBP,,,,1000,GBP,,,
1089,Deposit,2022-02-25,17:14:07,,,,,,,,,200.0,GBP,,,,200,GBP,,,
1090,Market buy,2022-02-25,17:44:45,AMT,American Tower,1.0,232.78,USD,1.3386,,GBP,174.16,GBP,,,,,,,,173.89810249514417
1091,Market buy,2022-02-25,17:51:34,LTC,LTC Properties,11.0,33.84,USD,1.33826,,GBP,278.57,GBP,,,,,,,,25.28656613811965
1092,Market buy,2022-02-25,17:58:00,AOS,A O Smith,5.0,68.73,USD,1.3384,,GBP,257.15,GBP,,,,,,,,51.35236102809325
1093,Market buy,2022-02-25,18:04:24,HI,Hillenbrand,5.0,47.15,USD,1.33891,,GBP,176.34,GBP,,,,,,,,35.21521237424472
1094,Market buy,2022-02-25,18:06:30,HASI,Hannon Armstrong Sustainable Infrastructure Capital,5.0,46.49,USD,1.33894,,GBP,173.87,GBP,,,,,,,,34.72149610886223
1095,Market buy,2022-02-25,18:16:53,O,Realty Income,2.0,67.28,USD,1.33885,,GBP,100.65,GBP,,,,,,,,50.25208201068081
1096,Market buy,2022-02-25,18:25:56,NLY,Annaly Capital Management,1.0,6.99,USD,1.33928,,GBP,5.23,GBP,,,,,,,,5.21922226868168
1097,Market buy,2022-02-25,18:25:56,NLY,Annaly Capital Management,6.0,6.99,USD,1.33928,,GBP,31.37,GBP,,,,,,,,5.21922226868168
1098,Dividend,2022-03-01,13:31:52,GOOD,Gladstone Commercial,27.0,0.11,USD,,,,2.15,GBP,,0.51,USD,,,,,
1099,Dividend,2022-03-01,13:59:41,LTC,LTC Properties,49.0,0.16,USD,,,,5.91,GBP,,1.4,USD,,,,,
